#,title,author,category,read?,audio?,language,# Pages,Location,Audible,Chicago?,Cincinnati?,Boston?,Milton?,Date Bought,Date Read,Time on TBR (days),Time on TBR (years),
,Delusions of Gender,Cordelia Fine,Gender Studies,No,Yes,English,244,Boston,Yes,!,Yes,Yes,No,"February 20, 2020",N/A,N/A,N/A,
1,All Our Hidden Gifts,Caroline O'Donoghue,Gay Fantasy,No,Yes,English,374,Boston,Yes,!,Yes,Yes,No,"November 22, 2022",N/A,N/A,N/A,
,The Adventures of Henry Thereau,Michael Sims,Biography,No,Yes,English,321,Chicago,Yes,No,No,No,No,"July 20, 2020",N/A,N/A,N/A,
,Visitor's Guide,Trinidad De Antonio & Jose Riello,Art,No,No,English,50,Chicago,No,No,No,No,No,"July 20, 2015",N/A,N/A,N/A,
,The Secret Life Of Bees,Sue Monk Kidd,Historical Fiction,No,Yes,English,302,Chicago,Yes,Rec,Rec,Yes,!,"July 30, 2022",N/A,N/A,N/A,
,The God Of Fertility,Jett Masterson,Gay Fantasy,Yes,No,English,199,Boston,No,No,No,No,No,"May 23, 2023","July 2, 2023",40,0.1095890411,
,Moonglow,Michael Chabon,Historical Fiction,No,Yes,English,430,Chicago,Yes,Yes,Yes,Yes,Yes,"July 20, 2020",N/A,N/A,N/A,
1,Spin The Dawn,Elizabeth Lim,Fantasy,No,Yes,English,387,Boston,Yes,Rec,Yes,Yes,Yes,"May 29, 2022",N/A,N/A,N/A,
,Hit Parade Of Tears,Izumi Suzuki,Gay Science Fiction,No,Yes,English,276,Boston,Yes,Rec,Rec,Rec,Rec,"June 15, 2023",N/A,N/A,N/A,
,Teacher Man,Frank McCourt,Teaching,No,Yes,English,258,Boston,Yes,Rec,Yes,Yes,!,"July 30, 2022",N/A,N/A,N/A,
,The Taker,Alma Katsu,Historical Fiction,No,Yes,English,436,Chicago,Yes,Rec,Yes,Yes,!,"May 3, 2022",N/A,N/A,N/A,
,iOS 8 Swift Programming Cookbook,Vandad Nahavandipoor,Coding,Yes,No,English,862,Chicago,No,!,Yes,Yes,No,"December 25, 2015","December 25, 2015",0,0,
,The Girl Who Fell Beneath The Sea,Axie Oh,Fantasy,Yes,Yes,English,321,Chicago,Yes!,Rec,Yes,Yes,Yes,"April 7, 2022","June 5, 2022",59,0.1616438356,
1,The Grandmaster Of Demonic Cultivation Vol 1,Mo Xiang Tong Xiu,Danmei,Yes,No,English,350,Boston,No,No,No,No,No,"December 14, 2021","December 14, 2021",0,0,
4,Tehanu,Ursula K. Le Guin,Fantasy,No,Yes,English,312,Boston,Yes,Yes,Yes,Yes,!,"January 11, 2023",N/A,N/A,N/A,
,These Truths,Jill Lepore,American History,No,Yes,English,789,Chicago,Yes,Rec,Yes,Yes,Yes,"July 30, 2022",N/A,N/A,N/A,
,Tomorrow And Tomorrow And Tomorrow,Gabrielle Zevin,Fiction,Yes,Yes,English,397,Boston,Yes,Yes,Yes,Yes,Yes,"May 6, 2023","May 14, 2023",8,0.02191780822,
2,Fevered Star,Rebecca Roanhorse,Gay Fantasy,No,Yes,English,385,Boston,Yes,Yes,Yes,Yes,Rec,"March 5, 2023",N/A,N/A,N/A,
,Beloved,Toni Morrison,Classic,Yes,Yes,English,324,Chicago,Yes,Rec,Yes,Yes,Yes,"October 1, 2020","October 1, 2020",0,0,
,Witch King,Martha Wells,Gay Fantasy,No,Yes,English,414,Boston,Yes,Rec,Yes,Yes,Rec,"December 14, 2023",N/A,N/A,N/A,
2,Heir To Frost And Storm,Ben Alderson,Gay Fantasy,No,Yes,English,429,Boston,Yes,!,Yes,Yes,No,"November 9, 2023",N/A,N/A,N/A,
,It's All In The Frijoles,Yolanda Nava,South American History,Yes,No,English,293,Chicago,No,!,Yes,Yes,No,"January 1, 2016","March 25, 2021",1910,5.232876712,
,History Makers,Ian Whitelaw & Julie Whitaker,Biography,Yes,No,English,247,Chicago,No,!,Yes,Yes,No,"January 1, 2016","May 19, 2021",1965,5.383561644,
,Notorious RBG,Irin Cameron & Shana Knizhnik,RBG,Yes,Yes,English,195,Chicago,Yes,Rec,Yes,Yes,Yes,"December 28, 2020",1214,3.326027397,,
,A History Of The Wife,Marilyn Yalom,Anthropology,Yes,No,English,400,Chicago,No,!,Yes,Yes,No,"January 1, 2016","November 28, 2020",1793,4.912328767,
1,Foundation,Issac Asimov,Science Fiction,No,Yes,English,244,Boston,Yes,Rec,Yes,Yes,Yes,"March 15, 2022",N/A,N/A,N/A,
,Cahokia,Timothy Pauketat,Native Americans,Yes,Yes,English,173,Chicago,Yes,Rec,Yes,!,!,"July 1, 2019","November 30, 2020",518,1.419178082,
,They Called Us Enemy,"George Takei, Justin Eisinger, & Steven Scott",WWII,Yes,No,English,204,Chicago,No,No,No,No,No,"November 1, 2019","November 12, 2019",11,0.0301369863,
,The Mathematics Of The Gods And The Algorithms Of Men,Paolo Zellini,Science,No,No,English,200,Boston,No,No,No,No,No,"November 13, 2022",N/A,N/A,N/A,
,The Hot Sauce Cookbook,Robb Walsh,Practical Skills,Yes,No,English,140,Chicago,No,No,No,No,No,"October 17, 2019",,-43755,-119.8767123,
,Gender Queer,Maia Kobabe,Memior,Yes,No,English,243,Chicago,No,!,Yes,Yes,No,"July 5, 2022","July 5, 2022",0,0,
2,The Second Rebel,Linden A. Lewis,Gay Science Fiction,Yes,Yes,English,502,Boston,Yes,Rec,Yes,Yes,!,"June 27, 2022","July 31, 2022",34,0.09315068493,
,Imagined Communities,Benedict Anderson,Anthropology,Yes,Yes,English,206,Boston,Yes,Rec,Rec,Yes,Rec,"July 7, 2021","August 8, 2023",762,2.087671233,
,Under The Udala Trees,Chinelo Okparanta,Gay Fiction,Yes,Yes,English,323,Boston,Yes,Rec,Yes,Yes,!,"January 14, 2023","January 24, 2023",10,0.02739726027,
,The Daughter Of Doctor Moreau,Silvia Moreno-Garcia,Historical Fiction,No,Yes,English,304,Boston,Yes,Yes,Yes,Yes,Yes,"July 5, 2023",N/A,N/A,N/A,
,Empresses Of China's Forbidden City,?,China,No,No,English,,Chicago,No,!,Yes,Yes,No,"July 1, 2019",N/A,N/A,N/A,
,Some Desperate Glory,Emily Tesh,Gay Science Fiction,No,Yes,English,436,Boston,Yes,Rec,Yes,Yes,Yes,"December 14, 2023",N/A,N/A,N/A,
,Hidden Figures,Margot Lee Shetterly,Gender Studies,Yes,Yes,English,349,Chicago,Yes,Yes,Yes,Yes,Yes,"March 23, 2021","August 28, 2021",158,0.4328767123,
1,Earthdivers Vol 1: Kill Columbus,Stephen Graham Jones,Fantasy,No,No,English,176,Boston,No,!,Yes,Yes,No,"October 21, 2023",N/A,N/A,N/A,
,Marie Antoinette,Antonia Fraser,Biography,Yes,Yes,English,458,Chicago,Yes,Yes,Yes,Yes,!,"October 17, 2019",,-43755,-119.8767123,
,1421,Gavin Menzies,China,Yes,Yes,English,491,Chicago,Yes,Rec,Yes,Yes,!,"July 1, 2019","September 13, 2020",440,1.205479452,
,Lincoln in 3D,Bob Zeller & John J. Richter,Civil War,No,No,English,209,Chicago,No,!,Yes,Yes,No,"October 18, 2010",N/A,N/A,N/A,
3,The King's Shield,Sherwood Smith,Fantasy,No,No,English,687,Chicago,No,No,No,No,No,"June 1, 2021",N/A,N/A,N/A,
,I'm Glad My Mom Died,Jennette McCurdy,Memior,Yes,Yes,English,304,Boston,Yes,Yes,Yes,Yes,Yes,"January 4, 2023","April 11, 2023",97,0.2657534247,
,The Magus,John Fowles,Fiction,Yes,Yes,English,668,Boston,Yes,Rec,Yes,Yes,Rec,"July 2, 2022","June 20, 2023",353,0.9671232877,
,How to be Drawn,Terrance Hayes,Poetry,Yes,No,English,96,Chicago,No,!,Yes,Yes,No,"July 2, 2022","August 3, 2022",32,0.08767123288,
,The Splinter In The Sky,Kemi Ashing-Giwa,Gay Science Fiction,No,Yes,English,363,Boston,Yes,Rec,Rec,Yes,Rec,"October 30, 2023",N/A,N/A,N/A,
,The World According To Color,James Fox,Anthropology,No,No,English,226,Boston,No,No,No,No,No,"June 27, 2022",N/A,N/A,N/A,
,The Spear Cuts Through Water,Simon Jimenez,Gay Fantasy,No,Yes,English,518,Boston,Yes,Rec,Yes,Yes,Rec,"July 5, 2023",N/A,N/A,N/A,
,Behind The Beautiful Forevers,Katherine Boo,Textbook,Yes,Yes,English,254,Chicago,Yes,Yes,Yes,Yes,Yes,"September 1, 2017","September 1, 2017",0,0,
2,The Dragon's Promise,Elizabeth Lim,Fantasy,No,Yes,English,482,Boston,Yes,Yes,Yes,Yes,Yes,"November 3, 2022",N/A,N/A,N/A,
3,The Veiled Throne,Ken Liu,Gay Fantasy,Yes,Yes,English,982,Boston,Yes,Rec,Yes,Yes,!,"May 10, 2022","May 31, 2022",21,0.05753424658,
1,A Magic Steeped In Poison,Judy I. Lin,Fantasy,Yes,Yes,English,364,Boston,Yes,Rec,Yes,Yes,Yes,"December 18, 2022","January 17, 2023",30,0.08219178082,
,Heros,Many,TV and movie,No,No,English,270,Chicago,No,!,Yes,Yes,No,"February 20, 2020",N/A,N/A,N/A,
2,Ravensong,T.J. Klune,Gay Fantasy,No,Yes,English,496,Boston,Yes,Rec,Rec,Yes,Rec,"August 1, 2023",N/A,N/A,N/A,
,Out Of Darkness,Ashley Hope Perez,Historical Fiction,No,Yes,English,394,Boston,Yes,Rec,Yes,Yes,Yes,"August 12, 2023",N/A,N/A,N/A,
,Former People,Douglas Smith,History,No,No,English,374,Boston,No,!,Yes,Yes,No,"December 3, 2022",N/A,N/A,N/A,
,High School,Tegan Quin and Sara Quin,Memior,Yes,Yes,English,361,Chicago,Yes,Rec,Yes,Yes,!,"February 10, 2020","February 10, 2020",0,0,
,How The Word Is Passed,Clint Smith,Race Relations,Yes,Yes,English,290,Boston,Yes,Yes,Yes,Yes,Yes,"April 30, 2022","June 12, 2022",43,0.1178082192,
1,Little Thieves,Margaret Owen,Gay Fantasy,No,Yes,English,500,Boston,Yes,Rec,Yes,Yes,Rec,"April 30, 2023",N/A,N/A,N/A,
3,Girls Of Fate And Fury,Natasha Ngan,Gay Fantasy,Yes,Yes,English,423,Boston,Yes,Rec,Yes,Yes,Yes,"November 1, 2022","March 22, 2023",141,0.3863013699,
,Phasers On Stun!,Ryan Britt,Star Trek,No,Yes,English,336,Boston,Yes,Rec,Rec,Yes,!,"July 13, 2022",N/A,N/A,N/A,
1,The Sunbearer Trials,Aiden Thomas,Gay Fantasy,Yes,Yes,English,401,Boston,Yes,Rec,Yes,Yes,Yes,"October 24, 2022","June 9, 2023",228,0.6246575342,
,The Dark Queens,Shelley Puhak,History,Yes,Yes,English,269,Boston,Yes!,No,No,No,No,"January 4, 2023","November 24, 2023",324,0.8876712329,
1,Ninth House,Leigh Bardugo,Gay Fantasy,Yes,Yes,English,458,Boston,Yes,Yes,Yes,Yes,Yes,"February 20, 2021","February 20, 2021",0,0,
,Wrath Goddess Sing,Maya Deane,Gay Fantasy,No,Yes,English,443,Boston,Yes,Rec,Yes,Yes,Rec,"July 5, 2023",N/A,N/A,N/A,
2,The Vampire Lestat,Anne Rice,Fantasy,No,Yes,English,550,Chicago,Yes,Rec,Yes,Yes,Yes,"November 15, 2020",N/A,N/A,N/A,
,The Last Cuentista,Donna Barba Higuera,Science Fiction,Yes,Yes,English,314,Boston,Yes,Yes,Yes,Yes,Yes,"May 18, 2022","September 28, 2022",133,0.3643835616,
,Designs For The Pluriverse,Arturo Escobar,Textbook,Yes,No,English,227,Chicago,No,!,Yes,Yes,No,"September 1, 2020","September 1, 2020",0,0,
,The Divine Comedy,Dante Alighieri,Classic,Yes,Yes,English,693,Chicago,Yes,Yes,Yes,Yes,!,"July 1, 2017","July 1, 2018",365,1,
,Team Of Rivals,Doris Kearns Goodwin,Civil War,No,Yes,English,757,Chicago,Yes,Yes,Yes,Yes,Yes,"January 1, 2016",N/A,N/A,N/A,
2,The Da Vinci Code,Dab Brown,Mystery,No,Yes,English,454,Chicago,Yes,Yes,Yes,Yes,!,"January 1, 2016",N/A,N/A,N/A,
4,The Grandmaster Of Demonic Cultivation The Manhua Vol 4,Mo Xiang Tong Xiu,Danmei,No,No,English,209,Boston,No,No,No,No,No,"December 5, 2023",N/A,N/A,N/A,
4,The Husky And His White Cat Shizun Vol 4,Rou Bao Bu Chi Rou,Danmei,No,No,English,389,Boston,No,No,No,No,No,"December 5, 2023",N/A,N/A,N/A,
1,A Marvellous Light,Freya Marske,Gay Fantasy,No,Yes,English,372,Boston,Yes,Yes,Yes,Yes,Yes,"December 17, 2022",N/A,N/A,N/A,
2,The Girl Who Played with Fire,Stieg Larsson,Mystery,Yes,Yes,English,503,Chicago,Yes,Yes,Yes,Yes,Yes,"April 25, 2020","August 11, 2022",838,2.295890411,
,The Great Believers,Rebecca Makkai,Gay Fiction,Yes,Yes,English,418,Chicago,Yes,Yes,Yes,Yes,Yes,"May 3, 2022","June 14, 2022",42,0.1150684932,
2,Thousand Autumns Vol 2,Meng Xi Shi,Danmei,No,No,English,340,Boston,No,No,No,No,No,"August 22, 2023",N/A,N/A,N/A,
,Counting Coup,Larry Colton,Native Americans,No,No,English,413,Chicago,No,!,Yes,Yes,No,"November 9, 2021",N/A,N/A,N/A,
,"Ziggy, Stardust, And Me",James Brandon,Gay Fiction,No,Yes,English,347,Boston,Yes,Rec,Yes,Yes,!,"November 3, 2022",N/A,N/A,N/A,
,Ocean's Echo,Everina Maxwell,Gay Science Fiction,Yes,Yes,English,462,Boston,Yes,Rec,Yes,Yes,!,"November 22, 2022","June 14, 2023",204,0.5589041096,
1,The Husky And His White Cat Shizun Vol 1,Rou Bao Bu Chi Rou,Danmei,No,No,English,479,Boston,No,No,No,No,No,"November 15, 2022",N/A,N/A,N/A,
,She Said,Jodi Kantor & Megan Twohey,Gender Studies,Yes,Yes,English,261,Chicago,Yes,Yes,Yes,Yes,Yes,"December 1, 2019","December 31, 2019",30,0.08219178082,
,Why Are All The Black Kids..,Beverly Daniel Tatum,Race Relations,Yes,Yes,English,358,Chicago,Yes,Rec,Yes,Yes,Yes,"July 1, 2019","May 15, 2021",684,1.873972603,
,Living Language,Laura M. Ahearn,Textbook,Yes,No,English,304,Chicago,No,!,Yes,Yes,No,"September 1, 2019","September 1, 2019",0,0,
,China Wakes,Nicolas D. Kristof & Sheryl Wudunn,China,No,No,English,459,Chicago,No,!,Yes,Yes,No,"January 4, 2021",N/A,N/A,N/A,
,Friday Black,Nana Kwame Adjei-Brenyah,Fiction,Yes,Yes,English,192,Boston,Yes,Rec,Yes,Yes,!,"March 5, 2023","March 14, 2023",9,0.02465753425,
,My Own Words,"Ruth Nader Ginsburg, Mary Hartnett, & Wendy W. Williams",RBG,Yes,Yes,English,334,Chicago,Yes,Yes,Yes,Yes,Yes,"July 1, 2019","August 31, 2019",61,0.1671232877,
,Morgue,Dr. Vincent Di Maio & Ron Franscell,Death,Yes,Yes,English,256,Chicago,Yes,Rec,Yes,!,!,"October 17, 2019","January 31, 2020",106,0.2904109589,
,This Book Is Gay,Juno Dawson,Gender Studies,Yes,Yes,English,266,Boston,Yes!,!,Yes,Yes,Yes,"May 14, 2023","June 24, 2023",41,0.1123287671,
,Princess,Jean P. Sasson,Gender Studies,No,Yes,English,299,Chicago,Yes,!,Yes,Yes,No,"January 1, 2016",N/A,N/A,N/A,
1,Stars Of Chaos Vol 1,Priest,Danmei,No,No,English,420,Boston,No,!,Yes,Yes,No,"August 1, 2023",N/A,N/A,N/A,
,Applied Statistics And Probability For Engineers,Douglas C. Montgomery & George C. Runger,Textbook,Yes,No,English,734,Boston,No,!,Yes,Yes,No,"February 1, 2018","February 1, 2018",0,0,
,Biology,"Kenneth A. Mason, Jonathan B. Losos, & Susan R. Singer",Textbook,Yes,No,English,1281,Chicago,No,!,Yes,Yes,No,"February 1, 2018","February 1, 2018",0,0,
,The Nacirema,James P. Spradley & Michael A. Rynkiewich,Anthropology,No,No,English,417,Boston,No,No,No,No,No,"August 12, 2023",N/A,N/A,N/A,
1,Wolfsong,T.J. Klune,Gay Fantasy,No,Yes,English,498,Boston,Yes,No,No,No,No,"July 9, 2023",N/A,N/A,N/A,
2,Hell Bent,Leigh Bardugo,Gay Fantasy,No,Yes,English,,Boston,Yes,Yes,Yes,Yes,Yes,"January 15, 2024",N/A,N/A,N/A,
,Sparrows In The Wind,Gail Carson Levine,Fantasy,Yes,Yes,English,330,Boston,Yes,Yes,Rec,Rec,Rec,"October 31, 2022","August 3, 2023",276,0.7561643836,
,Fly Girls,Keith O'Brien,History,No,Yes,English,265,Chicago,Yes,Rec,Yes,Yes,Yes,"October 17, 2019",N/A,N/A,N/A,
1,So Let Them Burn,Kamilah Cole,Gay Fantasy,No,Yes,English,386,Boston,Yes,Rec,Yes,Yes,Rec,"January 16, 2024",N/A,N/A,N/A,
,Nisa,Marjorie Shostak,Anthropology,No,No,English,371,Chicago,No,!,Yes,Yes,No,"March 1, 2019",N/A,N/A,N/A,
,The Order Of The Pure Moon Reflected In Water,Zen Cho,Gay Fantasy,Yes,Yes,English,158,Boston,Yes,Rec,Yes,Yes,!,"November 13, 2022","March 30, 2023",137,0.3753424658,
,"Natasha, Pierre, & the Great Comet of 1812",Many,Theatre,Yes,No,English,208,Chicago,No,!,Yes,Yes,No,"July 1, 2017","July 1, 2017",N/A,N/A,
,India Calling,Anand Giridharadas,History,No,No,English,254,Chicago,No,!,Yes,Yes,No,"November 9, 2021",N/A,N/A,N/A,
,Straight Expectations,Calum McSwiggan,Gay Fiction,No,No,English,267,Boston,No,!,Yes,Yes,No,"August 26, 2023",N/A,N/A,N/A,
,The Man Who Loved China,Simon Winchester,China,No,Yes,English,265,Chicago,Yes,Rec,Yes,Yes,!,"July 28, 2022",N/A,N/A,N/A,
,The Thrilling Adventures of Lovelace And Babage,Sydney Padua,Biography,Yes,No,English,317,Boston,No,No,No,No,No,"January 1, 2016","January 1, 2016",0,0,
,Kaikeyi,Vaishnavi Patel,Gay Fantasy,Yes,Yes,English,475,Boston,Yes,Yes,Yes,Yes,Yes,"December 11, 2022","November 14, 2023",338,0.9260273973,
,Vera Wong's Unsolicited Advice For Murderers,Jesse Q. Sutanto,Mystery,No,Yes,English,333,Boston,Yes,Rec,Yes,Yes,Yes,"December 13, 2023",N/A,N/A,N/A,
2,Eldest,Christopher Paolini,Fantasy,No,Yes,Spanish,824,Chicago,Yes!,Yes,Rec,Yes,!,"January 1, 2016",N/A,N/A,N/A,No
,Weapons of Math Destruction,Cathhy O'neil,Math,Yes,Yes,English,218,Chicago,Yes,Rec,Yes,Yes,!,"March 1, 2020","December 31, 2020",305,0.8356164384,
,Tread Of Angels,Rebecca Roanhorse,Fantasy,Yes,Yes,English,197,Boston,Yes,Yes,Rec,Yes,Yes,"December 3, 2022","November 28, 2023",360,0.9863013699,
,The Emperor Of All Maladies,Siddhartha Mukherjee,Science,Yes,Yes,English,472,Chicago,Yes,Yes,Yes,Yes,Yes,"July 1, 2019","September 30, 2019",91,0.2493150685,
,Cinderella Is Dead,Kalynn Bayron,Gay Fantasy,Yes,Yes,English,385,Chicago,Yes,Rec,Yes,Yes,Yes,"January 24, 2022",,-44585,-122.1506849,
,The Art Of Fullmetal Alchemist,Hiromu Arakawa,TV and movie,No,No,English,95,Chicago,No,No,No,No,No,"February 20, 2020",N/A,N/A,N/A,
,The Navajo Code Talkers,Doris A. Paul,Native Americans,No,No,English,152,Boston,No,No,No,No,No,"October 17, 2019",N/A,N/A,N/A,
2,The Empress Of Time,Kylie Lee Baker,Fantasy,No,Yes,English,366,Boston,Yes,Rec,Yes,Yes,Rec,"October 30, 2023",N/A,N/A,N/A,
,The Hundred Secret Senses,Amy Tan,Historical Fiction,No,Yes,English,358,Boston,Yes,Rec,Rec,Yes,!,"July 30, 2022",N/A,N/A,N/A,
1,The Fellowship Of The Ring,J.R.R. Tolkin,Fantasy,No,Yes,English,458,Chicago,Yes,Yes,Yes,Yes,Yes,"August 23, 2022",N/A,N/A,N/A,
,The Snake Who Loved A Sparrow,Nna Natsuo,Gay Fantasy,Yes,No,English,206,Boston,No,No,No,No,No,"February 22, 2023","February 25, 2023",3,0.008219178082,
1,Eragon The Illustrated Edition,Chrisropher Paolini,Fantasy,No,Yes,English,356,Boston,Yes,Yes,Yes,Yes,Yes,"December 25, 2023",N/A,N/A,N/A,
,Gwen And Art Are Not In Love,Lex Croucher,Gay Fantasy,No,Yes,English,407,Boston,Yes,Yes,Yes,Yes,Rec,"November 29, 2023",N/A,N/A,N/A,
1,Rebel Of The Sands,Alwyn Hamilton,Fantasy,Yes,Yes,English,314,Boston,Yes,Rec,Yes,Yes,Rec,"May 3, 2022","January 6, 2024",613,1.679452055,
,In Small Things Forgotten,James Deetz,Anthropology,Yes,Yes,English,260,Boston,Yes,Rec,Rec,Yes,!,"July 2, 2022","April 12, 2023",284,0.7780821918,
,Victorians Undone,Kathryn Hughes,History,No,No,English,365,Chicago,No,No,No,No,No,"July 20, 2021",N/A,N/A,N/A,
1,The Raw And The Cooked,Claude Levi Strauss,Anthropology,No,No,English,342,Chicago,No,No,No,No,No,"November 15, 2019",N/A,N/A,N/A,
,Flowers For Algernon,Daniels KeYes,Classic,Yes,Yes,English,311,Chicago,Yes,Yes,Yes,Yes,Yes,"July 1, 2019","October 31, 2019",122,0.3342465753,
,Peach Blossom Debt,Da Feng Gua Guo,Danmei,No,No,English,408,Boston,No,!,Yes,Yes,No,"October 23, 2023",N/A,N/A,N/A,
,Fingersmith,Sarah Waters,Gay Fiction,No,Yes,English,582,Boston,Yes,Rec,Yes,Yes,Yes,"December 10, 2022",N/A,N/A,N/A,
,We Don't Know Ourselves,Fintan O'Toole,History,Yes,Yes,English,570,Boston,Yes,!,Yes,Yes,Yes,"May 6, 2023","May 23, 2023",17,0.04657534247,
,Never Caught,Erica Armstrong Dunbar,American History,Yes,Yes,English,197,Boston,Yes,Rec,Yes,Yes,Rec,"July 2, 2022","August 9, 2023",403,1.104109589,
,A Clash Of Steel,C.B. Lee,Gay Fiction,Yes,Yes,English,399,Boston,Yes,Rec,Yes,Yes,!,"December 5, 2022","June 29, 2023",206,0.5643835616,
,Genesis,Edward O. Wilson,Science,Yes,Yes,English,125,Chicago,Yes,!,Yes,Yes,No,"November 15, 2019",,-43784,-119.9561644,No
4,The Summer Palace,C.S. Pacat,Gay Fantasy,No,No,English,148,Boston,No,No,No,No,No,"May 23, 2023",N/A,N/A,N/A,
1,10 Things That Never Happened,Alexis Hall,Gay Fiction,No,Yes,English,386,Boston,Yes,Rec,Yes,Yes,Yes,"December 21, 2023",N/A,N/A,N/A,
,Algorithms,Kenneth A. Berman & Jerome L. Paul,Textbook,Yes,No,English,443,Chicago,No,!,Yes,Yes,No,"February 1, 2020","February 1, 2020",0,0,No
,Beholder,Ryan La Sala,Gay Science Fiction,No,Yes,English,340,Boston,Yes,!,Yes,Yes,No,"October 20, 2023",N/A,N/A,N/A,
,The Feather Thief,Kirk W. Johnson,History,Yes,Yes,English,248,Chicago,Yes,Yes,Yes,Yes,!,"July 30, 2022","July 30, 2022",0,0,
2,Crooked Kingdom,Leigh Bardugo,Gay Fantasy,Yes,Yes,English,536,Boston,Yes!,!,Yes,Yes,No,"May 7, 2021","October 30, 2022",541,1.482191781,
3,Cress,Marissa Meyer,Fantasy,Yes,Yes,English,550,Chicago,Yes,Yes,Yes,Yes,Yes,"July 28, 2022","July 28, 2022",0,0,
,SPQR,Mary Beard,History,Yes,Yes,English,536,Boston,Yes,Rec,Yes,Yes,Yes,"August 12, 2023","December 31, 2023",141,0.3863013699,
1,Prince And Assassin,Tavia Lark,Gay Fantasy,No,Yes,English,277,Boston,Yes,!,Yes,Yes,No,"July 6, 2023",N/A,N/A,N/A,
,The Uninhabitable Earth,David Wallace-Wells,Science,Yes,Yes,English,310,Chicago,Yes,Rec,Yes,Yes,Yes,"October 1, 2020","October 1, 2020",0,0,
,Radium Girls,Kate Moore,American History,Yes,Yes,English,405,Chicago,Yes,Yes,Yes,Yes,Yes,"October 1, 2019","October 09, 2019",8,0.02191780822,
,Anna Karenina,Leo Tolstoy,Classic,Yes,Yes,English,870,Chicago,Yes,Yes,Yes,Yes,Yes,"July 1, 2019",,-43647,-119.5808219,
,Like A Love Story,Abdi Nazemian,Gay Fiction,Yes,Yes,English,413,Boston,Yes,Rec,Yes,Yes,Yes,"January 14, 2023","January 21, 2023",7,0.01917808219,
,Speak,Laurie Halse Anderson,Fiction,Yes,Yes,English,198,Chicago,Yes,Yes,Yes,Yes,Yes,"February 20, 2020","July 1, 2020",132,0.3616438356,
1,Carry On,Rainbow Rowell,Gay Fantasy,No,Yes,English,517,Boston,Yes,Yes,Yes,Yes,Yes,"November 22, 2022",N/A,N/A,N/A,
,In The Heart Of The Sea,Nathaniel Philbrick,History,No,Yes,English,238,Boston,Yes,Yes,Yes,Yes,Yes,"November 9, 2021",N/A,N/A,N/A,
,Persephone: Hades's Torment,Allison Shaw,Fantasy,Yes,No,English,166,Boston,No,!,Yes,Yes,No,"December 3, 2022","December 5, 2022",2,0.005479452055,
1,Maus I,Art Spiegelman,WWII,Yes,No,English,159,Chicago,No,!,Yes,Yes,No,"October 17, 2019","October 17, 2019",0,0,
,Guide To Gettng It On,Paul Joannides,Textbook,Yes,No,English,1080,Chicago,No,!,Yes,Yes,No,"September 1, 2019","September 1, 2019",0,0,
,The Writing Of The Gods,Edward Dolnick,History,Yes,Yes,English,263,Boston,Yes,Yes,Yes,Yes,Yes,"March 12, 2023","May 6, 2023",55,0.1506849315,
,Mortal Follies,Alexis Hall ,Gay Fantasy,No,Yes,English,392,Boston,Yes,Rec,Yes,Yes,Rec,"June 11, 2023",N/A,N/A,N/A,
,Exhalation,Ted Chiang,Science Fiction,Yes,Yes,English,350,Boston,Yes,Rec,Yes,Yes,Rec,"June 11, 2023","September 7, 2023",88,0.2410958904,
,Not For Tourists Guide To Boston,Not For Tourists,Travel,Yes,No,English,235,Boston,No,!,Yes,Yes,No,"July 18, 2022",N/A,N/A,N/A,
,Lies We Sing To The Sea,Sarah Underwood,Gay Fantasy,No,Yes,English,483,Boston,Yes,Rec,Yes,Yes,Yes,"December 11, 2023",N/A,N/A,N/A,
,Museo Thyssen - Bornemisza,Paul Edson & Araceli Montero,Art,No,No,English,73,Chicago,No,!,Yes,Yes,No,"July 20, 2015",N/A,N/A,N/A,
,Sweet & Bitter Magic,Adrienne Tooley,Gay Fantasy,No,Yes,English,359,Boston,Yes,Rec,Rec,Yes,!,"November 22, 2022",N/A,N/A,N/A,
,The Heartbeat Of Wounded Knee,David Treuer,Native Americans,Yes,Yes,English,455,Chicago,Yes!,Rec,Yes,Yes,Yes,"January 13, 2020","March 23, 2020",70,0.1917808219,
3,The Burning God,R.F. Kuang,Fantasy,Yes,Yes,English,614,Boston,Yes,Yes,Yes,Yes,Yes,"December 28, 2021","October 22, 2023",663,1.816438356,
,The Song Of The Cell,Siddhartha Mukherjee,Science,Yes,Yes,English,377,Boston,Yes,Yes,Yes,Yes,Yes,"February 3, 2023","April 18, 2023",74,0.202739726,
,Chess,Yury Shulman,Practical Skills,Yes,No,English,205,Chicago,No,!,Yes,Yes,No,"January 1, 2007","January 1, 2007",0,0,
,Come From Away,Many,Theatre,Yes,No,English,35,Chicago,No,!,Yes,Yes,No,"November 15, 2019","November 15, 2019",0,0,
2,Heartstopper Vol 2,Alice Oseman,Gay Fiction,Yes,No,English,320,Boston,No,!,Yes,Yes,No,"December 25, 2020","June 16, 2021",173,0.4739726027,No
,The Instant Economist,Tim Taylor,Business,No,Yes,English,250,Chicago,Yes,Rec,Rec,Yes,!,"July 2, 2022",N/A,N/A,N/A,
,My Country And My People,Lin Yutang,China,Yes,No,English,348,Boston,No,!,Yes,Yes,No,"November 9, 2021","October 9, 2022",334,0.9150684932,
